name	x	y	z	size	manufacturer
197	41.85	-68.89	51.41	6.4100	AdTech
198	47.34	-59.32	53.81	6.4100	AdTech
72	20.98	-4.31	-26.46	6.4100	AdTech
73	25.51	-5.42	-24.95	6.4100	AdTech
69	50.67	-24.66	7.74	6.4100	AdTech
70	55.86	-24.05	5.51	6.4100	AdTech
21	2.55	-75.54	28.58	6.4100	AdTech
22	11.23	-78.41	22.96	6.4100	AdTech
66	37.73	-26.74	12.83	6.4100	AdTech
67	42.21	-26.05	11.04	6.4100	AdTech
73	25.51	-5.42	-24.95	6.4100	AdTech
74	29.7	-6.64	-23.42	6.4100	AdTech
66	37.73	-26.74	12.83	6.4100	AdTech
67	42.21	-26.05	11.04	6.4100	AdTech
