onset	duration
33.5	0.07
36.56	0.07
39.62	0.07
42.68	0.07
45.74	0.07
48.8	0.07
51.86	0.07
54.92	0.07
57.98	0.07
61.04	0.07
97.76	0.07
100.82	0.07
103.88	0.07
106.94	0.07
110	0.07
113.06	0.07
116.12	0.07
119.18	0.07
122.24	0.07
125.3	0.07
162.02	0.07
165.08	0.07
168.14	0.07
171.2	0.07
174.26	0.07
177.32	0.07
180.38	0.07
183.44	0.07
186.5	0.07
189.56	0.07
226.28	0.07
229.34	0.07
232.4	0.07
235.46	0.07
238.52	0.07
241.58	0.07
244.64	0.07
247.7	0.07
250.76	0.07
253.82	0.07
290.54	0.07
293.6	0.07
296.66	0.07
299.72	0.07
302.78	0.07
305.84	0.07
308.9	0.07
311.96	0.07
315.02	0.07
318.08	0.07
354.8	0.07
357.86	0.07
360.92	0.07
363.98	0.07
367.04	0.07
370.1	0.07
373.16	0.07
376.22	0.07
379.28	0.07
382.34	0.07
419.06	0.07
422.12	0.07
425.18	0.07
428.24	0.07
431.3	0.07
434.36	0.07
437.42	0.07
440.48	0.07
443.54	0.07
446.6	0.07
483.32	0.07
486.38	0.07
489.44	0.07
492.5	0.07
495.56	0.07
498.62	0.07
501.68	0.07
504.74	0.07
507.8	0.07
510.86	0.07
547.58	0.07
550.64	0.07
553.7	0.07
556.76	0.07
559.82	0.07
562.88	0.07
565.94	0.07
569	0.07
572.06	0.07
575.12	0.07
611.84	0.07
614.9	0.07
617.96	0.07
621.02	0.07
624.08	0.07
627.14	0.07
630.2	0.07
633.26	0.07
636.32	0.07
639.38	0.07
676.1	0.07
