name	type	units	low_cutoff	high_cutoff	status	status_description
55	ECOG	mA	n/a	n/a	good	"Electrodes are use for stimulation only, NOT for recording electrical activity"
56	ECOG	mA	n/a	n/a	good	"Electrodes are use for stimulation only, NOT for recording electrical activity"
