onset	duration
38.9	0.05
41.9	0.05
44.9	0.05
47.9	0.05
50.9	0.05
53.9	0.05
56.9	0.05
59.9	0.05
62.9	0.05
65.9	0.05
107.9	0.05
110.9	0.05
113.9	0.05
116.9	0.05
119.9	0.05
122.9	0.05
125.9	0.05
128.9	0.05
131.9	0.05
134.9	0.05
176.9	0.05
179.9	0.05
182.9	0.05
185.9	0.05
188.9	0.05
191.9	0.05
194.9	0.05
197.9	0.05
200.9	0.05
203.9	0.05
245.899	0.05
248.899	0.05
251.899	0.05
254.899	0.05
257.899	0.05
260.899	0.05
263.899	0.05
266.899	0.05
269.899	0.05
272.899	0.05
314.899	0.05
317.899	0.05
320.899	0.05
323.899	0.05
326.899	0.05
329.899	0.05
332.899	0.05
335.899	0.05
338.899	0.05
341.899	0.05
383.899	0.05
386.899	0.05
389.899	0.05
392.899	0.05
395.899	0.05
398.899	0.05
401.899	0.05
404.899	0.05
407.899	0.05
410.899	0.05
452.899	0.05
455.899	0.05
458.899	0.05
461.899	0.05
464.899	0.05
467.899	0.05
470.899	0.05
473.899	0.05
476.899	0.05
479.899	0.05
521.898	0.05
524.898	0.05
527.898	0.05
530.898	0.05
533.898	0.05
536.898	0.05
539.898	0.05
542.898	0.05
545.898	0.05
548.898	0.05
590.898	0.05
593.898	0.05
596.898	0.05
599.898	0.05
602.898	0.05
605.898	0.05
608.898	0.05
611.898	0.05
614.898	0.05
617.898	0.05
659.898	0.05
662.898	0.05
665.898	0.05
668.898	0.05
671.898	0.05
674.898	0.05
677.898	0.05
680.898	0.05
683.898	0.05
686.898	0.05
