onset	duration
35.9	0.09
38.9	0.09
41.9	0.09
44.9	0.09
47.9	0.09
50.9	0.09
53.9	0.09
56.9	0.09
59.9	0.09
62.9	0.09
101.9	0.09
104.9	0.09
107.9	0.09
110.9	0.09
113.9	0.09
116.9	0.09
119.9	0.09
122.9	0.09
125.9	0.09
128.9	0.09
167.9	0.09
170.9	0.09
173.9	0.09
176.9	0.09
179.9	0.09
182.9	0.09
185.9	0.09
188.9	0.09
191.9	0.09
194.9	0.09
233.9	0.09
236.9	0.09
239.9	0.09
242.9	0.09
245.9	0.09
248.9	0.09
251.9	0.09
254.9	0.09
257.9	0.09
260.9	0.09
299.9	0.09
302.9	0.09
305.9	0.09
308.9	0.09
311.9	0.09
314.9	0.09
317.9	0.09
320.9	0.09
323.9	0.09
326.9	0.09
365.9	0.09
368.9	0.09
371.9	0.09
374.9	0.09
377.9	0.09
380.9	0.09
383.9	0.09
386.9	0.09
389.9	0.09
392.9	0.09
431.9	0.09
434.9	0.09
437.9	0.09
440.9	0.09
443.9	0.09
446.9	0.09
449.9	0.09
452.9	0.09
455.9	0.09
458.9	0.09
497.9	0.09
500.9	0.09
503.9	0.09
506.9	0.09
509.9	0.09
512.9	0.09
515.9	0.09
518.9	0.09
521.9	0.09
524.9	0.09
563.9	0.09
566.9	0.09
569.9	0.09
572.9	0.09
575.9	0.09
578.9	0.09
581.9	0.09
584.9	0.09
587.9	0.09
590.9	0.09
