onset	duration
32.9	0.07
35.9	0.07
38.9	0.07
41.9	0.07
44.9	0.07
47.9	0.07
50.9	0.07
53.9	0.07
56.9	0.07
59.9	0.07
95.9	0.07
98.9	0.07
101.9	0.07
104.9	0.07
107.9	0.07
110.9	0.07
113.9	0.07
116.9	0.07
119.9	0.07
122.9	0.07
158.9	0.07
161.9	0.07
164.9	0.07
167.9	0.07
170.9	0.07
173.9	0.07
176.9	0.07
179.9	0.07
182.9	0.07
185.9	0.07
221.9	0.07
224.9	0.07
227.9	0.07
230.9	0.07
233.9	0.07
236.9	0.07
239.9	0.07
242.9	0.07
245.9	0.07
248.9	0.07
284.9	0.07
287.9	0.07
290.9	0.07
293.9	0.07
296.9	0.07
299.9	0.07
302.9	0.07
305.9	0.07
308.9	0.07
311.9	0.07
347.9	0.07
350.9	0.07
353.9	0.07
356.9	0.07
359.9	0.07
362.9	0.07
365.9	0.07
368.9	0.07
371.9	0.07
374.9	0.07
410.9	0.07
413.9	0.07
416.9	0.07
419.9	0.07
422.9	0.07
425.9	0.07
428.9	0.07
431.9	0.07
434.9	0.07
437.9	0.07
473.9	0.07
476.9	0.07
479.9	0.07
482.9	0.07
485.9	0.07
488.9	0.07
491.9	0.07
494.9	0.07
497.9	0.07
500.9	0.07
536.9	0.07
539.9	0.07
542.9	0.07
545.9	0.07
548.9	0.07
551.9	0.07
554.9	0.07
557.9	0.07
560.9	0.07
563.9	0.07
599.9	0.07
602.9	0.07
605.9	0.07
608.9	0.07
611.9	0.07
614.9	0.07
617.9	0.07
620.9	0.07
623.9	0.07
626.9	0.07
